Year,G_Bin,Q_Bin,Count,Ret_Mean,Win_Rate,Profit_Factor,VaR_95,Avg_Days,Status
2019,G3:中减(-2.5~-1.5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G4:微减(-1.5~0%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G4:微减(-1.5~0%),Q2:中低(20-40),7.0,0.32518796992481186,1.0,9.9,0.3251879699248119,28.0,交易活跃
2019,G4:微减(-1.5~0%),Q3:中位(40-55),10.0,-0.03320053120849933,0.0,0.0,-0.033200531208499334,22.0,交易活跃
2019,G4:微减(-1.5~0%),Q4:警戒(55-70),101.0,-0.005117537559130746,0.6534653465346535,0.8075068359777953,-0.08374384236453199,10.702970297029703,交易活跃
2019,G4:微减(-1.5~0%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G5:微增(0~1%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G5:微增(0~1%),Q2:中低(20-40),140.0,0.10475550755710612,0.9142857142857143,9.9,0.0,17.6,交易活跃
2019,G5:微增(0~1%),Q3:中位(40-55),75.0,-0.07582938388625589,0.0,0.0,-0.07582938388625589,19.0,交易活跃
2019,G5:微增(0~1%),Q4:警戒(55-70),87.0,-0.06714698081570017,0.034482758620689655,0.005935966233634472,-0.08042488619119882,25.103448275862068,交易活跃
2019,G5:微增(0~1%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G6:中增(1~3%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G6:中增(1~3%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G6:中增(1~3%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G6:中增(1~3%),Q4:警戒(55-70),16.0,-0.06983981150808354,0.0,0.0,-0.08753315649867376,17.0,交易活跃
2019,G6:中增(1~3%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G7:暴增(>3%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G7:暴增(>3%),Q2:中低(20-40),10.0,0.03529411764705877,1.0,9.9,0.03529411764705877,10.0,交易活跃
2019,G7:暴增(>3%),Q3:中位(40-55),20.0,0.033199464524765736,0.4,9.9,0.0,3.6,交易活跃
2019,G7:暴增(>3%),Q4:警戒(55-70),69.0,-0.05851182719256064,0.043478260869565216,0.019892497302973648,-0.13513513513513514,17.217391304347824,交易活跃
2019,G7:暴增(>3%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2020,G1:暴减(<-5%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2020,G1:暴减(<-5%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2020,G1:暴减(<-5%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2020,G1:暴减(<-5%),Q4:警戒(55-70),147.0,0.023484380283782122,0.7142857142857143,5.262415021506465,-0.019283746556473785,16.829931972789115,交易活跃
2020,G1:暴减(<-5%),Q5:高位(>70),22.0,-0.0857142857142857,0.0,0.0,-0.08571428571428573,21.0,交易活跃
2020,G2:大减(-5~-2.5%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2020,G2:大减(-5~-2.5%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2020,G2:大减(-5~-2.5%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2020,G2:大减(-5~-2.5%),Q4:警戒(55-70),119.0,-0.007838140628031837,0.31092436974789917,0.7714302023845487,-0.0795698924731183,17.605042016806724,交易活跃
2020,G2:大减(-5~-2.5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2020,G3:中减(-2.5~-1.5%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2020,G3:中减(-2.5~-1.5%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2020,G3:中减(-2.5~-1.5%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2020,G3:中减(-2.5~-1.5%),Q4:警戒(55-70),34.0,-0.04281794690654541,0.0,0.0,-0.07279693486590037,19.852941176470587,交易活跃
